cell,param,direction,stability_score,n_years_tested,avg_lift_pp,years_detail
gbp|bullish,break_close_location,mostly_down,5,7,4.26,"2019:down,2020:up,2021:down,2022:down,2023:down,2024:up,2025:down"
gbp|bullish,break_impulse_range_atr,mostly_up,5,7,3.62,"2019:up,2020:down,2021:up,2022:up,2023:down,2024:up,2025:up"
gbp|bullish,break_impulse_body_atr,mostly_up,4,7,3.4,"2019:down,2020:up,2021:up,2022:down,2023:down,2024:up,2025:up"
gbp|bullish,retest_candle_body_penetration,mostly_down,5,7,4.39,"2019:down,2020:down,2021:up,2022:down,2023:down,2024:down,2025:up"
gbp|bullish,aoi_height_atr,mostly_up,5,6,4.46,"2019:up,2020:up,2021:down,2022:up,2024:up,2025:up"
gbp|bullish,distance_to_next_htf_obstacle_atr,mostly_down,5,7,3.39,"2019:down,2020:down,2021:down,2022:up,2023:down,2024:down,2025:up"
gbp|bullish,distance_from_last_impulse_atr,mostly_up,5,7,2.66,"2019:down,2020:down,2021:up,2022:up,2023:up,2024:up,2025:up"
gbp|bullish,recent_trend_payoff_atr_24h,mostly_down,4,7,4.78,"2019:down,2020:up,2021:up,2022:down,2023:down,2024:down,2025:up"
gbp|bullish,recent_trend_payoff_atr_48h,mostly_down,4,7,5.9,"2019:down,2020:up,2021:up,2022:down,2023:down,2024:down,2025:up"
gbp|bullish,aoi_time_since_last_touch,mostly_down,5,7,3.67,"2019:down,2020:down,2021:down,2022:up,2023:down,2024:up,2025:down"
gbp|bullish,aoi_last_reaction_strength,mostly_up,5,7,6.79,"2019:down,2020:down,2021:up,2022:up,2023:up,2024:up,2025:up"
gbp|bullish,htf_range_size_mid_atr,mostly_down,4,7,5.41,"2019:down,2020:down,2021:up,2022:down,2023:up,2024:up,2025:down"
gbp|bullish,aoi_midpoint_range_position_mid,mostly_down,5,7,4.93,"2019:down,2020:up,2021:up,2022:down,2023:down,2024:down,2025:down"
