sl_model,n_groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_SIGNAL_CANDLE_PLUS_0_25,1,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3685,0.1666,14,1.279
SL_ATR_2_0,1,break_close_location>=0.5,871,124.5,0.3685,0.1889,11,1.326
SL_SIGNAL_CANDLE_PLUS_0_25,1,break_close_location>=0.5,871,124.5,0.3685,0.1672,15,1.28
SL_SIGNAL_CANDLE_PLUS_0_25,1,htf_range_size_mid_atr>=10,929,132.8,0.3681,0.1621,16,1.27
SL_ATR_2_0,1,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3677,0.1918,9,1.333
SL_AOI_FAR,1,break_close_location>=0.5,808,115.5,0.3676,0.1468,15,1.242
SL_SIGNAL_CANDLE_PLUS_0_25,1,bars_between_retest_and_break<=2,713,101.9,0.3675,0.1544,15,1.256
SL_SIGNAL_CANDLE_PLUS_0_25,1,max_retest_penetration_atr<=1.5,819,117.1,0.3675,0.1509,13,1.248
SL_AOI_FAR,1,htf_range_size_mid_atr>=10,855,122.2,0.3673,0.1393,16,1.229
SL_ATR_1_0,6,htf_range_size_mid_atr>=20,1610,230.2,0.3671,0.1012,17,1.16
SL_AOI_FAR,1,no_gate,870,124.4,0.3667,0.1409,16,1.232
SL_SIGNAL_CANDLE_PLUS_0_25,1,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3666,0.1579,16,1.263
SL_ATR_2_0,1,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3657,0.1862,10,1.322
SL_SIGNAL_CANDLE_PLUS_0_25,1,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3657,0.1541,16,1.256
SL_AOI_FAR,1,max_retest_penetration_atr<=1.25,722,103.2,0.3657,0.1398,15,1.23
SL_SIGNAL_CANDLE_PLUS_0_25,1,htf_range_size_mid_atr>=15,788,112.6,0.3655,0.1522,15,1.252
SL_AOI_FAR,1,max_retest_penetration_atr<=1.5,783,111.9,0.3653,0.1372,17,1.225
SL_ATR_2_0,1,no_gate,945,135.1,0.3651,0.1838,10,1.317
SL_SIGNAL_CANDLE_PLUS_0_25,1,no_gate,945,135.1,0.3651,0.1519,16,1.252
SL_ATR_2_0,1,trend_age_impulses>=3,885,126.5,0.365,0.1679,15,1.285
SL_AOI_FAR,1,aoi_far_edge_atr>=1.0,844,120.7,0.3649,0.137,16,1.225
SL_AOI_FAR,1,bars_between_retest_and_break<=4,735,105.1,0.3646,0.134,19,1.219
SL_AOI_FAR,1,trend_age_impulses>=3,836,119.5,0.3636,0.1277,14,1.208
SL_ATR_2_0,1,bars_between_retest_and_break<=2,713,101.9,0.3633,0.1838,10,1.319
SL_ATR_2_0,1,bars_between_retest_and_break<=3,793,113.4,0.3632,0.1857,9,1.322
SL_SIGNAL_CANDLE_PLUS_0_25,1,bars_between_retest_and_break<=3,793,113.4,0.3632,0.1413,12,1.233
SL_AOI_FAR,1,bars_between_retest_and_break<=3,701,100.2,0.3623,0.129,18,1.211
SL_ATR_2_0,1,aoi_far_edge_atr>=1.0,923,131.9,0.3619,0.1697,10,1.29
SL_SIGNAL_CANDLE_PLUS_0_25,1,bars_between_retest_and_break<=4,851,121.7,0.3619,0.1399,13,1.23
SL_SIGNAL_CANDLE_PLUS_0_25,1,aoi_far_edge_atr>=1.0,923,131.9,0.3608,0.1395,16,1.23
SL_AOI_FAR,1,signal_candle_opposite_extreme_atr>=0.25,826,118.1,0.3608,0.1231,16,1.201
SL_ATR_2_0,1,max_retest_penetration_atr<=1.5,819,117.1,0.3602,0.1681,10,1.288
SL_ATR_2_0,1,bars_between_retest_and_break<=4,851,121.7,0.3584,0.1704,10,1.293
SL_SIGNAL_CANDLE_PLUS_0_25,1,trend_age_impulses>=3,885,126.5,0.3582,0.128,16,1.209
SL_AOI_FAR,1,signal_candle_opposite_extreme_atr>=0.35,764,109.2,0.3573,0.1161,15,1.189
