gate,lift,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
session_directional_bias<=-0.33,-0.0069,620,88.6,0.4016,0.226,9,1.386
recent_trend_payoff_atr_48h<=3.14,-0.0069,1220,174.4,0.4016,0.2245,11,1.383
max_retest_penetration_atr>=0.79,-0.007,822,117.5,0.4015,0.2246,10,1.384
aoi_time_since_last_touch<=49.0,-0.0071,1460,208.7,0.4014,0.2219,14,1.377
break_close_location>=0.67,-0.0077,1225,175.1,0.4008,0.2227,11,1.38
htf_range_size_high_atr>=47.13,-0.008,407,58.2,0.4005,0.2052,7,1.344
aoi_midpoint_range_position_mid>=0.43,-0.008,1221,174.5,0.4005,0.2177,10,1.369
aoi_midpoint_range_position_mid<=0.27,-0.0085,160,22.9,0.4,0.2206,7,1.375
aoi_midpoint_range_position_high>=0.63,-0.0085,815,116.5,0.4,0.2165,11,1.367
break_impulse_range_atr>=0.83,-0.0088,1226,175.3,0.3997,0.2205,14,1.375
distance_from_last_impulse_atr<=2.23,-0.0088,1221,174.5,0.3997,0.2158,14,1.366
recent_trend_payoff_atr_48h>=-3.34,-0.0096,1221,174.5,0.3989,0.2107,13,1.356
trend_age_impulses>=3.0,-0.0097,1537,219.7,0.3988,0.2122,11,1.359
aoi_far_edge_atr>=1.43,-0.0098,1219,174.3,0.3987,0.2122,11,1.358
distance_from_last_impulse_atr>=0.38,-0.01,1222,174.7,0.3985,0.2171,13,1.369
bars_between_retest_and_break>=2.0,-0.0106,578,82.6,0.3979,0.2008,10,1.336
aoi_near_edge_atr>=0.14,-0.0106,1229,175.7,0.3979,0.2133,13,1.362
distance_to_next_htf_obstacle_atr>=0.48,-0.0107,817,116.8,0.3978,0.2134,10,1.361
aoi_midpoint_range_position_mid>=0.78,-0.011,395,56.5,0.3975,0.2001,10,1.335
session_directional_bias<=0.2,-0.0113,929,132.8,0.3972,0.2139,11,1.364
break_impulse_body_atr>=0.37,-0.0116,1227,175.4,0.3969,0.2122,13,1.36
session_directional_bias_null,-0.0116,388,55.5,0.3969,0.1923,7,1.32
signal_candle_opposite_extreme_atr>=0.58,-0.0123,1224,175.0,0.3962,0.2102,13,1.356
aoi_height_atr>=1.12,-0.0124,1217,174.0,0.3961,0.1948,12,1.324
aoi_midpoint_range_position_mid>=0.61,-0.0124,813,116.2,0.3961,0.2072,10,1.35
htf_range_size_mid_atr<=16.33,-0.0129,407,58.2,0.3956,0.2027,17,1.342
break_close_location>=0.81,-0.0144,817,116.8,0.3941,0.2039,10,1.345
aoi_far_edge_atr>=1.7,-0.0149,808,115.5,0.3936,0.1938,13,1.324
