sl_model,mode,n_groups,groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_ATR_1_0,threshold,1,jpy_pairs,max_retest_penetration_atr<=1.5,819,117.1,0.3858,0.1608,11,1.263
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,htf_range_size_mid_atr>=15,788,112.6,0.3858,0.1662,16,1.273
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bear_htf>=0.7&bull_htf>=0.3,791,113.1,0.3856,0.1618,21,1.264
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,htf_dir>=0.4 & bars_between_retest_and_break<=3,703,100.5,0.3855,0.1811,10,1.301
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,htf_dir>=0.45,776,110.9,0.3853,0.1768,14,1.293
SL_ATR_1_0,threshold,1,jpy_pairs,bars_between_retest_and_break<=4,851,121.7,0.3843,0.1559,11,1.254
SL_ATR_1_0,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3839,0.1548,11,1.252
SL_SIGNAL_CANDLE,threshold,1,jpy_pairs,break_close_location>=0.65,740,105.8,0.3838,0.1875,14,1.313
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,htf_dir>=0.5,712,101.8,0.3834,0.1731,14,1.287
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,distance_to_next_htf_obstacle_atr>=0.25 & break_close_location>=0.65,877,125.4,0.3831,0.1726,14,1.286
SL_SIGNAL_CANDLE,threshold,1,jpy_pairs,bars_between_retest_and_break<=2,713,101.9,0.3829,0.172,17,1.284
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,bars_between_retest_and_break<=4,844,120.7,0.3827,0.1499,12,1.243
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,trend_age_impulses>=3,865,123.7,0.3827,0.1526,13,1.248
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,break_close_location>=0.65,740,105.8,0.3824,0.1664,14,1.274
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,break_close_location>=0.65 & max_retest_penetration_atr<=1.25,947,135.4,0.3823,0.1636,14,1.27
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,htf_dir>=0.4,837,119.7,0.3823,0.1699,15,1.281
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,distance_to_next_htf_obstacle_atr>=0.5,772,110.4,0.3821,0.15,14,1.244
SL_ATR_1_0,threshold,1,jpy_pairs,bars_between_retest_and_break<=3,793,113.4,0.3821,0.1497,12,1.243
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,max_retest_penetration_atr<=1.5,801,114.5,0.382,0.151,11,1.245
SL_ATR_1_0,threshold,1,jpy_pairs,trend_age_impulses>=3,885,126.5,0.3819,0.1467,11,1.238
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,aoi_far_edge_atr>=1.5,1003,143.4,0.3819,0.1508,22,1.245
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,aoi_near_edge_atr>=0.25,870,124.4,0.3816,0.1509,16,1.245
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,htf_range_size_mid_atr>=15,1316,188.1,0.3815,0.1544,16,1.252
SL_ATR_1_0,threshold,1,jpy_pairs,aoi_far_edge_atr>=1.0,923,131.9,0.3814,0.1461,11,1.237
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=2 & break_close_location>=0.65,924,132.1,0.381,0.1621,14,1.267
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,aoi_far_edge_atr>=1.5 & distance_to_next_htf_obstacle_atr>=0.25,769,109.9,0.381,0.1586,11,1.26
