bear_hard,bull_hard,min_dir_score,min_uni_score,avail_bear,avail_bull,avail_uni,bear_features,bull_features,uni_features,bear_win,bear_tpy,bull_win,bull_tpy,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
tc<=3,none,0,2,4,5,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.5091,70.8,0.4092,216.6,2010,287.3,0.4338,0.3152,15,1.565
tc<=3+dist>=0.21,none,1,0,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4128,225.4,1930,275.9,0.4337,0.3142,12,1.563
none,sbias>=0.2+tc<=5,0,3,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4289,166.0,,,1287,184.0,0.4336,0.3142,15,1.562
none,sbias>=0.2,2,0,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4282,194.0,,,1594,227.9,0.4335,0.3053,13,1.542
none,sbias>=0.2,2,1,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4276,192.6,,,1583,226.3,0.4334,0.3049,13,1.541
tc<=3+dist>=0.21,none,1,1,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4119,223.9,1916,273.9,0.4327,0.3113,12,1.557
none,sbias>=0.2+tc<=5,2,2,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4301,185.1,,,1402,200.4,0.4322,0.3022,12,1.536
none,none,2,3,5,5,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4381,150.1,0.4257,143.4,2053,293.5,0.4321,0.308,14,1.548
tc<=3,none,0,0,4,5,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.5029,74.8,0.4085,232.7,2151,307.5,0.4314,0.307,16,1.548
none,sbias>=0.2+opp<=0.87,2,2,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4301,185.1,,,1429,204.3,0.4311,0.2986,11,1.528
none,sbias>=0.2+tc<=5,2,0,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4282,194.0,,,1469,210.0,0.4309,0.298,13,1.527
tc<=3+range<=1.14,none,1,2,3,5,4,near<=0.32|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4138,209.7,1774,253.6,0.4307,0.3057,12,1.545
tc<=3,none,0,1,4,5,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.5029,73.9,0.4075,231.2,2134,305.1,0.4306,0.3048,16,1.543
tc<=3+dist>=0.21,none,0,2,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4092,216.6,1881,268.9,0.4306,0.3065,12,1.547
none,sbias>=0.2+tc<=5,2,1,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4276,192.6,,,1459,208.6,0.4304,0.2966,13,1.524
tc<=3+range<=1.14,none,1,0,3,5,4,near<=0.32|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4128,225.4,1896,271.0,0.4299,0.3024,12,1.537
tc<=3+dist>=0.21,none,0,0,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4085,232.7,2009,287.2,0.4296,0.3024,12,1.538
tc<=3+range<=1.14,none,1,1,3,5,4,near<=0.32|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4119,223.9,1882,269.0,0.4293,0.3009,12,1.534
none,sbias>=0.2+opp<=0.87,2,0,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4282,194.0,,,1497,214.0,0.4289,0.2917,12,1.514
none,sbias>=0.2,1,2,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4229,203.1,,,1693,242.0,0.4288,0.2979,15,1.527
tc<=3+dist>=0.21,none,0,1,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4075,231.2,1995,285.2,0.4286,0.2995,12,1.532
none,sbias>=0.2+opp<=0.87,2,1,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4276,192.6,,,1487,212.6,0.4284,0.2903,13,1.511
none,sbias>=0.2+tc<=5,1,2,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4229,203.1,,,1574,225.0,0.4282,0.2937,13,1.519
none,sbias>=0.2,1,0,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4207,213.7,,,1792,256.2,0.4275,0.2931,16,1.517
none,none,2,2,5,5,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4301,185.1,0.4242,176.3,2528,361.4,0.4272,0.2924,16,1.516
none,sbias>=0.2,1,1,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4205,212.1,,,1779,254.3,0.4272,0.2925,17,1.516
